FECHA,ASIGNACION_CONTRATO,UBICACION,CUENCA,CATEGORIA,PETROLEO_CRUDO_EQUIVALENTE_MMBPCE,PETROLEO_MMB,GAS_MMMPC,CONDENSADO_MMB,LIQUIDOS_PLANTA_MMB,GAS_SECO_MMMPC
01/01/2016,A-0046,Terrestre,Cuencas del Sureste,3P,43.433046,19.291196,95.466669,1.891631,8.44676,71.790824
01/01/2016,A-0047,Terrestre,Cuencas del Sureste,1P,9.294902,6.261394,31.841932,0,1.180487,9.637434
01/01/2016,A-0047,Terrestre,Cuencas del Sureste,2P,11.951961,7.976069,41.73389,0,1.547215,12.631382
01/01/2016,A-0047,Terrestre,Cuencas del Sureste,3P,11.959594,7.980995,41.762307,0,1.548269,12.639983
01/01/2016,A-0049,Aguas someras,Cuencas del Sureste,1P,16.826285,10.245924,35.275218,0,2.303979,22.241169
01/01/2016,A-0049,Aguas someras,Cuencas del Sureste,2P,16.826285,10.245924,35.275218,0,2.303979,22.241169
01/01/2016,A-0049,Aguas someras,Cuencas del Sureste,3P,16.826285,10.245924,35.275218,0,2.303979,22.241169
01/01/2016,A-0050,Terrestre,Cuencas del Sureste,1P,14.58311,10.247615,17.034212,0.335506,1.5185,12.906054
01/01/2016,A-0050,Terrestre,Cuencas del Sureste,2P,42.370797,31.177405,43.978968,0.86621,3.920466,33.320881
01/01/2016,A-0050,Terrestre,Cuencas del Sureste,3P,42.370797,31.177405,43.978968,0.86621,3.920466,33.320881
01/01/2016,A-0051,Terrestre,Cuencas del Sureste,1P,0.513569,0.465177,0.202464,0,0.018832,0.153741
01/01/2016,A-0051,Terrestre,Cuencas del Sureste,2P,0.513569,0.465177,0.202464,0,0.018832,0.153741
01/01/2016,A-0051,Terrestre,Cuencas del Sureste,3P,0.513569,0.465177,0.202464,0,0.018832,0.153741
01/01/2016,A-0053,Aguas someras,Cuencas del Sureste,1P,15.619356,9.097152,35.797461,0.539357,2.094771,20.22161
01/01/2016,A-0053,Aguas someras,Cuencas del Sureste,2P,15.619356,9.097152,35.797461,0.539357,2.094771,20.22161
01/01/2016,A-0053,Aguas someras,Cuencas del Sureste,3P,15.619356,9.097152,35.797461,0.539357,2.094771,20.22161
01/01/2016,A-0054,Terrestre,Burgos,1P,1.794499,0,8.442247,0.017239,0.225765,8.069214
01/01/2016,A-0054,Terrestre,Burgos,2P,2.837186,0,13.347581,0.027256,0.356945,12.757799
01/01/2016,A-0054,Terrestre,Burgos,3P,6.915565,0,32.534371,0.066436,0.870045,31.096792
01/01/2016,A-0055,Terrestre,Tampico-Misantla,1P,1.655138,1.229451,1.827494,0,0.124045,1.568819
01/01/2016,A-0055,Terrestre,Tampico-Misantla,2P,23.8035,14.432168,40.231555,0,2.730805,34.53692
01/01/2016,A-0055,Terrestre,Tampico-Misantla,3P,78.034249,45.680224,138.897296,0,9.427959,119.236873
01/01/2016,A-0057,Terrestre,Cuencas del Sureste,1P,4.925147,2.603837,9.690862,0.025263,0.872144,7.405628
01/01/2016,A-0057,Terrestre,Cuencas del Sureste,2P,6.300907,3.50114,11.688295,0.03047,1.051906,8.93204
01/01/2016,A-0057,Terrestre,Cuencas del Sureste,3P,6.300907,3.50114,11.688295,0.03047,1.051906,8.93204
01/01/2016,A-0060,Terrestre,Burgos,1P,1.54732,0,6.945648,0.214907,0.161932,6.087588
01/01/2016,A-0060,Terrestre,Burgos,2P,1.79224,0,8.03372,0.250241,0.188556,7.039164
01/01/2016,A-0060,Terrestre,Burgos,3P,2.807039,0,12.542024,0.396642,0.298869,10.981915
01/01/2016,A-0061,Terrestre,Cuencas del Sureste,1P,21.412842,11.958499,39.66799,0.03917,3.571819,30.390879
01/01/2016,A-0061,Terrestre,Cuencas del Sureste,2P,30.033461,16.962744,54.841362,0.054153,4.938073,42.01567
01/01/2016,A-0061,Terrestre,Cuencas del Sureste,3P,30.033461,16.962744,54.841362,0.054153,4.938073,42.01567
01/01/2016,A-0063,Terrestre,Cuencas del Sureste,1P,51.889636,20.463182,121.97921,2.459867,10.996468,93.461335
01/01/2016,A-0063,Terrestre,Cuencas del Sureste,2P,51.889636,20.463182,121.97921,2.459867,10.996468,93.461335
01/01/2016,A-0063,Terrestre,Cuencas del Sureste,3P,51.889636,20.463182,121.97921,2.459867,10.996468,93.461335
01/01/2016,A-0064,Terrestre,Tampico-Misantla,1P,0,0,0,0,0,0
01/01/2016,A-0064,Terrestre,Tampico-Misantla,2P,0,0,0,0,0,0
01/01/2016,A-0064,Terrestre,Tampico-Misantla,3P,0,0,0,0,0,0
01/01/2016,A-0065,Aguas someras,Tampico-Misantla,1P,0.834625,0.815695,0.088084,0,0.003294,0.081324
01/01/2016,A-0065,Aguas someras,Tampico-Misantla,2P,0.834625,0.815695,0.088084,0,0.003294,0.081324
01/01/2016,A-0065,Aguas someras,Tampico-Misantla,3P,0.834625,0.815695,0.088084,0,0.003294,0.081324
01/01/2016,A-0067,Terrestre,Cuencas del Sureste,1P,3.565775,3.13791,3.793576,0,0.162429,1.380517
01/01/2016,A-0067,Terrestre,Cuencas del Sureste,2P,3.565775,3.13791,3.793576,0,0.162429,1.380517
01/01/2016,A-0067,Terrestre,Cuencas del Sureste,3P,3.565775,3.13791,3.793576,0,0.162429,1.380517
01/01/2016,A-0068,Terrestre,Veracruz,1P,0.021641,0,0.112553,0,0,0.112553
01/01/2016,A-0068,Terrestre,Veracruz,2P,0.021641,0,0.112553,0,0,0.112553
01/01/2016,A-0068,Terrestre,Veracruz,3P,0.021641,0,0.112553,0,0,0.112553
01/01/2016,A-0071,Terrestre,Veracruz,1P,26.583938,0,138.575195,0,0,138.261208
01/01/2016,A-0071,Terrestre,Veracruz,2P,26.583938,0,138.575195,0,0,138.261208
01/01/2016,A-0071,Terrestre,Veracruz,3P,26.583938,0,138.575195,0,0,138.261208
01/01/2016,A-0072,Terrestre,Burgos,1P,0.269847,0,2.185884,0.000793,0.034178,1.221573
01/01/2016,A-0072,Terrestre,Burgos,2P,0.269847,0,2.185884,0.000793,0.034178,1.221573
01/01/2016,A-0072,Terrestre,Burgos,3P,1.195234,0,9.681939,0.003514,0.151384,5.410714
01/01/2016,A-0073,Terrestre,Veracruz,1P,0.014815,0,0.08439,0,0,0.077053
01/01/2016,A-0073,Terrestre,Veracruz,2P,0.014815,0,0.08439,0,0,0.077053
01/01/2016,A-0073,Terrestre,Veracruz,3P,0.014815,0,0.08439,0,0,0.077053
01/01/2016,A-0074,Terrestre,Tampico-Misantla,1P,0.319244,0.224874,0.550314,0,0.01642,0.405414
01/01/2016,A-0074,Terrestre,Tampico-Misantla,2P,0.956897,0.654221,1.765035,0,0.052665,1.300294
01/01/2016,A-0074,Terrestre,Tampico-Misantla,3P,1.402447,0.955892,2.562063,0,0.0777,1.918399
01/01/2016,A-0075,Terrestre,Cinturon Plegado de Chiapas,1P,0.603556,0.603556,0.067644,0,0,0
01/01/2016,A-0075,Terrestre,Cinturon Plegado de Chiapas,2P,0.603556,0.603556,0.067644,0,0,0
